year,month,day,radial distance,one-way light-time,velocity wrt sun,distance from sun (mi miles),distance from sun (mi km),ra hh,ra mm,ra ss,dec dd,dec mm,dec ss
2025,Nov,6,168.71,23:28:46,16.92,"25,238.00","15,682.16",17,14,45.79,12,4,38
2025,Dec,6,169,23:32:13,16.92,"25,281.76","15,709.35",17,15,27.6,12,1,59.8
2026,Jan,5,169.29,23:33:51,16.92,"25,325.51","15,736.54",17,16,11.32,12,2,25.8
2026,Feb,4,169.58,23:33:53,16.92,"25,369.27","15,763.73",17,16,45.64,12,5,49.8
2026,Mar,6,169.88,23:32:58,16.92,"25,413.03","15,790.92",17,17,1.86,12,11,16.6
2026,Apr,5,170.17,23:32:00,16.92,"25,456.79","15,818.11",17,16,56.33,12,17,18
2026,May,5,170.46,23:31:53,16.92,"25,500.55","15,845.30",17,16,31.31,12,22,19.1
2026,Jun,4,170.75,23:33:14,16.92,"25,544.31","15,872.49",17,15,54.04,12,25,3.6
2026,Jul,4,171.05,23:36:19,16.92,"25,588.07","15,899.68",17,15,14.58,12,24,52.2
2026,Aug,3,171.34,23:40:57,16.92,"25,631.82","15,926.87",17,14,43.3,12,21,50
2026,Sep,2,171.63,23:46:36,16.92,"25,675.57","15,954.06",17,14,28.45,12,16,43.5
2026,Oct,2,171.92,23:52:26,16.92,"25,719.32","15,981.24",17,14,34.29,12,10,50.3
2026,Nov,1,172.22,23:57:36,16.92,"25,763.08","16,008.43",17,14,59.95,12,5,40.9
2026,Dec,1,172.51,0:01:21,16.92,"25,806.83","16,035.62",17,15,39.38,12,2,37.3
2026,Dec,31,172.8,0:03:19,16.92,"25,850.58","16,062.80",17,16,22.68,12,2,29.8
2027,Jan,30,173.09,0:03:36,16.92,"25,894.34","16,089.99",17,16,58.65,12,5,21.5
2027,Mar,1,173.39,0:02:47,16.92,"25,938.10","16,117.18",17,17,18.08,12,10,26
2027,Mar,31,173.68,0:01:45,16.92,"25,981.85","16,144.37",17,17,16.42,12,16,21
2027,Apr,30,173.97,0:01:26,16.92,"26,025.61","16,171.56",17,16,54.88,12,21,32.4
2027,May,30,174.26,0:02:29,16.92,"26,069.36","16,198.75",17,16,19.81,12,24,41.1
2027,Jun,29,174.56,0:05:16,16.92,"26,113.11","16,225.93",17,15,40.75,12,25,1.1
2027,Jul,29,174.85,0:09:39,16.92,"26,156.86","16,253.12",17,15,7.97,12,22,29.8
2027,Aug,28,175.14,0:15:10,16.91,"26,200.61","16,280.30",17,14,50.09,12,17,46.1
2027,Sep,27,175.43,0:21:03,16.91,"26,244.35","16,307.48",17,14,52.09,12,12,1.7
2027,Oct,27,175.73,0:26:23,16.91,"26,288.10","16,334.66",17,15,14.05,12,6,44.6
2027,Nov,26,176.02,0:30:26,16.91,"26,331.84","16,361.84",17,15,50.9,12,3,18.1
2027,Dec,26,176.31,0:32:43,16.91,"26,375.59","16,389.03",17,16,33.44,12,2,38.6
2028,Jan,25,176.6,0:33:16,16.91,"26,419.34","16,416.21",17,17,10.7,12,4,57.9
2028,Feb,24,176.89,0:32:35,16.91,"26,463.09","16,443.39",17,17,33.07,12,9,38.5
2028,Mar,25,177.19,0:31:32,16.91,"26,506.83","16,470.58",17,17,35.17,12,15,24.3
2028,Apr,24,177.48,0:31:01,16.91,"26,550.58","16,497.76",17,17,17.16,12,20,43.3
2028,May,24,177.77,0:31:48,16.91,"26,594.32","16,524.94",17,16,44.51,12,24,13.7
2028,Jun,23,178.06,0:34:16,16.91,"26,638.06","16,552.12",17,16,6.16,12,25,3.9
2028,Jul,23,178.36,0:38:23,16.91,"26,681.80","16,579.30",17,15,32.23,12,23,3.5
2028,Aug,22,178.65,0:43:45,16.91,"26,725.53","16,606.47",17,15,11.61,12,18,43.9
2028,Sep,21,178.94,0:49:38,16.91,"26,769.27","16,633.65",17,15,9.93,12,13,10.8
2028,Oct,21,179.23,0:55:08,16.91,"26,813.00","16,660.82",17,15,28.18,12,7,48.8
2028,Nov,20,179.53,0:59:27,16.91,"26,856.73","16,687.99",17,16,2.25,12,4,2.2
2028,Dec,20,179.82,1:02:04,16.91,"26,900.46","16,715.17",17,16,43.72,12,2,52.3
2029,Jan,19,180.11,1:02:53,16.91,"26,944.20","16,742.34",17,17,21.9,12,4,39.4
2029,Feb,18,180.4,1:02:22,16.91,"26,987.93","16,769.52",17,17,46.93,12,8,54.7
2029,Mar,20,180.7,1:01:19,16.91,"27,031.66","16,796.69",17,17,52.64,12,14,28.9
2029,Apr,19,180.99,1:00:39,16.9,"27,075.40","16,823.87",17,17,38.21,12,19,52.7
2029,May,19,181.28,1:01:09,16.9,"27,119.12","16,851.04",17,17,8.15,12,23,42.3
2029,Jun,18,181.57,1:03:18,16.9,"27,162.85","16,878.21",17,16,30.8,12,25,1.2
2029,Jul,18,181.86,1:07:09,16.9,"27,206.57","16,905.37",17,15,56.05,12,23,31.5
2029,Aug,17,182.16,1:12:21,16.9,"27,250.29","16,932.54",17,15,32.97,12,19,37.2
2029,Sep,16,182.45,1:18:11,16.9,"27,294.00","16,959.70",17,15,27.79,12,14,17.5
2029,Oct,16,182.74,1:23:49,16.9,"27,337.72","16,986.87",17,15,42.34,12,8,53.6
2029,Nov,15,183.03,1:28:24,16.9,"27,381.43","17,014.03",17,16,13.48,12,4,49.6
2029,Dec,15,183.33,1:31:20,16.9,"27,425.15","17,041.19",17,16,53.57,12,3,11.2
2030,Jan,14,183.62,1:32:28,16.9,"27,468.86","17,068.35",17,17,32.34,12,4,26.4
2030,Feb,13,183.91,1:32:08,16.9,"27,512.58","17,095.52",17,17,59.73,12,8,15.2
2030,Mar,15,184.2,1:31:06,16.9,"27,556.29","17,122.68",17,18,8.88,12,13,35.5
2030,Apr,14,184.49,1:30:18,16.9,"27,600.00","17,149.84",17,17,58.02,12,19,1.2
2030,May,14,184.79,1:30:33,16.9,"27,643.71","17,177.00",17,17,30.73,12,23,7.7
2030,Jun,13,185.08,1:32:23,16.89,"27,687.42","17,204.16",17,16,54.65,12,24,53.6
2030,Jul,13,185.37,1:35:57,16.89,"27,731.12","17,231.31",17,16,19.39,12,23,54.2
2030,Aug,12,185.66,1:40:56,16.89,"27,774.82","17,258.47",17,15,54.15,12,20,26.1
2030,Sep,11,185.96,1:46:44,16.89,"27,818.51","17,285.62",17,15,45.66,12,15,21.9
2030,Oct,11,186.25,1:52:28,16.89,"27,862.21","17,312.77",17,15,56.55,12,9,58.7
2030,Nov,10,186.54,1:57:17,16.89,"27,905.90","17,339.92",17,16,24.62,12,5,40.1
2030,Dec,10,186.83,2:00:32,16.89,"27,949.59","17,367.07",17,17,3.07,12,3,35.2
2030,Dec,30,187.03,2:00:32,16.89,"27,978.72","17,385.17",17,17,29.67,12,3,45.4
